댓글,공감수,비공감수
땅따리 똥별보다는 낫다!,24,4
이걸로 또 물고 늘어지는 졸렬한 김병주,22,5
병주야..너라면 총리시켜준다면 넙죽 받아먹었겠지만 정치인이 자기 신념과 다르면 아무리 좋은것도 거절할줄 알아야 되는거야... 국무총리 자리 거절하는게 쉬워 보이냐? 넌 경기지사 한번 해보겠다고 그짧은 팔다리로 아둥바둥 거리잖아 ㅉㅉㅉ,16,2
"병주야 좀 참아라. 유승민도 제안받았는데, 제안한적없다! 라고하니까 밝힌거잖아. 쪽팔리게 굴지말자 별것도아니다",10,0
총리 제안이 사실이었네....아니라고 하더니.....입만열면 거짓말,13,6
빙주가 어떻게 별4개 달았는지 지금도 불가사리여. 사의?,2,0
"똥별은 어떻게 달은거야, 아부근성으로 딱그렇게 생겨ㅆ네",2,0
정치도의를 무시하긴했지. 유승민의 그릇의 한계. 다음에 누가 유승민에게 무슨말을 하겠는가? 이것으로 유승민은 킅,2,1
유승민 저사람 절대 안된다 관상봐라,2,1
유승민 이가 이재명 정청래 우원식 김병기 추미애. 무능 멍청한 인간들 보다 백번 낫긴 하지 보수 의원들이 스쳐만 가도 유능 하니 적극적 영입하려하네 대통령도 마찬가지 이야 라도는 사기꾼. 무능 멍청. 인간들. 많다보니 경상도 인물을 대통으로 계속. 구해 하잔아 미숙한 좌팔. 인간들 이야,1,0
유승민 저 촉새 총리 시켰더라도 딸 부정문제로 온나라가 뒤집힐뻔! 정말 대통령께선 운도 좋으셔!,1,0
딸 문제는 입도 뻥긋 못하면서..너도 그릇이 작아..종재기 수준이야..,1,0
처음부터 총리제안했는데 거절당했다고 발표했으면 됐자나...찌질하게 그런적 없었다고 하니까 팩트를 말한거자나... 찌질한 민주당과 청와대...,1,0
찌질하고졸렬한4성장군,1,0
대통령? 언놈이?ㅋㅋㅋ 설마 찟,0,0
치졸하고 찔찔짜는 짜지리 똥별보다 났다. 범죄자 특별기에 태우고오는짓보다는 굿입니다요,0,0
기사 났을때 청와대에서 무대응 했으면 되는걸 굳이 그런적없다 구리치니 반박하지 ㅋㅋ 대통령이랑 말이라도 맞춰 오던가. 거짓말 들키니 민망해서 그런가?,0,0
개그하냐 쪽팔리니까 고상하게포장을하는군나,0,0
"계속 연락한 사람보고 말하는거 맞지 ,,,?",0,0
대통형실에 가짜로 발표한건?,0,0
찢넘이 그런적없다고 거짓말하니 진실을 말해야지,0,0
,0,0
,0,0
당신이나 잘 하삼,0,0
유승민 2017년국힘배신자 1세대 멤버. 당신이 어딜 가든 우린 관심없다. 당신 때의 국힘 아니다. 근처 얼씬거릴 생각하지마라.,0,0
찌질 ㅋㅋㅋㅋ,0,0
시정 잡배도 승민이 보다낫다 깜도 안되는게 총리 개가 웃을일,0,0
,0,0
저런거에 충성한 쫄따구들이 거시기하네,0,0
아마 윤석렬이 너에게전화했다면?????? 안봐도 비데오네~~,0,0
,0,0
찌질? ㅋ ㅋ 민주야 민주야,0,0
,0,0
"이혜훈 꼴 나는데 미쳤다고 이죄명이 전화 받겠냐? 하여튼 이죄명과 더불어공산당, 계략질 하나 만큼은 잘 해.",0,0
통일교 이재멍게이트 특검실시해라..,0,0
총리 제안하고 그런 사실 없다고 잡아 떼는 놈은 뭐냐? 사기꾼?,0,0
"온잦비리가 의심스러운 양반이 물을 흐리려고하네,... 아니 딸랑거리는걸까?",0,0
우리나라 역사상 최악의 장군...저런게 별을 달았다니...순국장병들이 통탄할일이다.,0,0
거절했으면 그냥 넘어갈것이지 왜 그걸 떠드나? 그럼 왜 이제 와서? 내 몸값이 이정도요--과시하려고. 그래서,0,0
그나마 진정한 보스는 유승민 이네 !,0,0
내란아니라고 하면 거품물고 악지르는 너가 최악이다.,0,0
"겉으로 확실하게 의사표명을 안했더니, 별 말이 다 나와서 해명한 거잖아. 그게 뭔 자랑질인데?",0,0
선거전이니 도움이될까 제안했겠지 그게 뭐 대단한거라고 이제와서 떠벌리는것도 우습다 이제는 총리감리 넘치는데 굳이~~,0,0
안했으니 안했다고 하는데 뭐 ? 문제있어 ㆍ 그런일없다 거짓말 한건 ㆍ꼬라지 하고는,0,0
4성장군이 국군 망신 다 시키심.,0,0
정치군인 똥별 김병주 ㅡ 너무 설쳐 ㅡ 즐라도 냄새 팍팍 풍기는데 ~~~ 자중 해라,0,0
,0,0
,0,0
사실을 사실대로 얘기 한 것을 비나하는 찌질이 김병주,0,1
찌질하다고? 그럼 제일 비겁하고 직 뒤도 숨기고 있는 자는 누구인가?,0,1
지들끼리 북치고 장구치다 본인이 한마디 하니까 찌질하단다,0,1
관심받고싶어하는 똥별 ㅋ,0,1
재명이가 뭘 제시 한것은 없는 것 같은데...그냥 연락을 취했다는 것 뿐....승민이 혼자 상상하는 것 같구만..,0,1
