keyword,count,platform
유승민,5,naver
총리,4,naver
김병주,3,naver
거짓말,3,naver
인간들,3,naver
병주야,2,naver
무능,2,naver
이야,2,naver
사기꾼,2,naver
계속,2,naver
하니까,2,naver
굳이,2,naver
찌질,2,naver
승민이,2,naver
민주야,2,naver
그럼,2,naver
그게,2,naver
똥별,2,naver
땅따리,1,naver
똥별보다는,1,naver
낫다,1,naver
이걸로,1,naver
물고,1,naver
늘어지는,1,naver
졸렬한,1,naver
너라면,1,naver
총리시켜준다면,1,naver
넙죽,1,naver
받아먹었겠지만,1,naver
정치인이,1,naver
자기,1,naver
신념과,1,naver
다르면,1,naver
아무리,1,naver
좋은것도,1,naver
거절할줄,1,naver
알아야,1,naver
되는거야,1,naver
국무총리,1,naver
자리,1,naver
거절하는게,1,naver
쉬워,1,naver
보이냐,1,naver
경기지사,1,naver
한번,1,naver
해보겠다고,1,naver
그짧은,1,naver
팔다리로,1,naver
아둥바둥,1,naver
거리잖아,1,naver
참아라,1,naver
유승민도,1,naver
제안받았는데,1,naver
제안한적없다,1,naver
라고하니까,1,naver
밝힌거잖아,1,naver
쪽팔리게,1,naver
굴지말자,1,naver
별것도아니다,1,naver
제안이,1,naver
사실이었네,1,naver
아니라고,1,naver
하더니,1,naver
입만열면,1,naver
빙주가,1,naver
별4개,1,naver
달았는지,1,naver
지금도,1,naver
불가사리여,1,naver
사의,1,naver
똥별은,1,naver
달은거야,1,naver
아부근성으로,1,naver
딱그렇게,1,naver
생겨,1,naver
정치도의를,1,naver
무시하긴했지,1,naver
유승민의,1,naver
그릇의,1,naver
한계,1,naver
다음에,1,naver
누가,1,naver
유승민에게,1,naver
무슨말을,1,naver
하겠는가,1,naver
이것으로,1,naver
유승민은,1,naver
저사람,1,naver
절대,1,naver
안된다,1,naver
관상봐라,1,naver
이가,1,naver
이재명,1,naver
정청래,1,naver
우원식,1,naver
김병기,1,naver
추미애,1,naver
멍청한,1,naver
보다,1,naver
백번,1,naver
대장동,17,youtube
이재명,14,youtube
재판,10,youtube
이재명이,10,youtube
이익,8,youtube
무슨,7,youtube
그럼,7,youtube
그렇게,7,youtube
공익사업,6,youtube
성남시,6,youtube
50억,5,youtube
막대한,5,youtube
이익을,5,youtube
최대,5,youtube
법원은,5,youtube
이재명은,5,youtube
우두머리,4,youtube
받아라,4,youtube
대통령,4,youtube
몸통은,4,youtube
부산,4,youtube
재명이,4,youtube
공익,4,youtube
빨리,4,youtube
이재명을,4,youtube
모든,4,youtube
보면,4,youtube
사업,4,youtube
했는데,4,youtube
환수,4,youtube
법원,4,youtube
무죄,4,youtube
민간이,4,youtube
모범적,3,youtube
사법부가,3,youtube
말이,3,youtube
그런,3,youtube
아님,3,youtube
본인이,3,youtube
사업을,3,youtube
사법부,3,youtube
아직도,3,youtube
지금은,3,youtube
대장동이,3,youtube
국민,3,youtube
법원이,3,youtube
똑같이,3,youtube
다른,3,youtube
해야,3,youtube
나라,3,youtube
특검,3,youtube
이제,3,youtube
50억씩,3,youtube
누가,3,youtube
하면,3,youtube
아니면,3,youtube
죄다,3,youtube
유동규가,3,youtube
구속,3,youtube
이래서,2,youtube
배임죄,2,youtube
해라,2,youtube
쥐를,2,youtube
잡자,2,youtube
없이,2,youtube
공익은,2,youtube
이런건,2,youtube
범죄,2,youtube
구속하라,2,youtube
윤석열,2,youtube
민주당이,2,youtube
날이,2,youtube
얼마,2,youtube
잡아넣어라,2,youtube
드가자,2,youtube
비슷한,2,youtube
이상,2,youtube
엘시티도,2,youtube
뭐가,2,youtube
대한민국,2,youtube
저거,2,youtube
그당시,2,youtube
가는,2,youtube
엘씨티는,2,youtube
이익이,2,youtube
단군이래,2,youtube
미친,2,youtube
MBC,2,youtube
민주당,2,youtube
방송,2,youtube
하기,2,youtube
같이,2,youtube
앞으로,2,youtube
헌법,2,youtube
자신의,2,youtube
적극적으로,2,youtube
대장동에,2,youtube
선거에도,2,youtube
주범,2,youtube
지지하던,2,youtube
