댓글,좋아요수
이래서 배임죄 폐지하는구나ㅋ,171
50억 클럽들 다시 처벌 제대로 해라~!!,122
무슨 모범적 공익사업이야... 원주민들한테 삥듣은 사업이지.. 원주민들 겁나 욕함,82
쥐를 잡자 쥐를 잡자~^^,88
배임죄 폐지 하려고? ㅋㅋㅋㅋㅋㅋㅋ,90
나쁜넘들,43
사법부가 간만에 정상 판결햇네,110
"말이 되나,., 그런 결정을 시장 결재도 없이..?",68
여태껏 공익은 한푼도 환수못하고 민간기업이 다가져갔는데 이런건 무슨죄일까?,133
감빵가라,49
공익사업이라도 불법 있다면 죄값을 받아야지,6
범죄 우두머리,65
빨랑 재판 받아라 사기꾼아 법앞에 그누구도 예외가 있어서는 안되,49
4달 대통령 맛보기 해봣으면 됫어,75
이재명 구속수사해라,6
판결해서 법정 구속하라,37
재판 속행 하자. 어차피 총리도 똑같은 부류라 별 의미 없다만.,26
대장동 몸통은 윤석열 이라고 개풀뜯는 소리한 민주당이 왜 조용할까?,60
대장동 몸통은 윤석열이라며 ㅋㅋㅋㅋㅋ,45
깜빵 갈 날이 얼마 안남았네,7
수괴를 잡아넣어라,6
자 드가자 ㅋㅋㅋ,8
역대 대한민국도시개발에서 대장동 개발과 비슷한 규모 이상의 개발에서 5천억원 이상 환수한 사례를 제시해봐라.. 없다..부산 엘시티도 적자다..,92
뭐가 문재인건지 이재명확하쥬?,24
"대한민국 최대라고한
ㅇㅈㅁ 괘씸죄로 더 강력처벌해야는거 아님?",3
잡범들의 놀이터 대장동 백현동....,32
언론과 법원의 컴비네이션 심리전 또 시작인가?,25
"이재명 본인이 저거 말하면서도 쪼개고 있는거 나만 소름이냐,,",28
공익사업 웃기는 개소리하지마라.너의 욕심많은 자금줄이었다!,4
아수라 ㅋㅋ,43
그당시 시장이 이들이 부당수익을 많이 가져 가는 것도 몰랐다면 직무유기로 지금이라도 수사를 받아야 한다,1
엘씨티는 ㅋㅋ ? 거긴 이익이 아니라  적자엿딘메?,5
대장동 사기 우두머리,4
